                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95381,                 3.0518,                0.93084,                0.68283,                0.37688,                0.46816,                0.41271,                0.52574,                 0.8801,                0.80273,                 0.0874,                 0.0014,                 0.0014
                      1,                0.67772,                0.88771,                0.86237,                0.77166,                0.52555,                0.63561,                0.53448,                 0.5377,                0.79246,                0.81075,               0.073843,              0.0028426,              0.0028426
                      2,                  0.762,                0.77666,                 0.8488,                0.78909,                0.64546,                0.71696,                0.58466,                0.64948,                0.68364,                0.80863,               0.060226,              0.0042258,              0.0042258
                      3,                0.73414,                0.78214,                0.84817,                0.82508,                0.69946,                0.81632,                0.67451,                0.64879,                0.58579,                0.81917,                0.04655,              0.0055495,              0.0055495
                      4,                0.80728,                0.86534,                0.84558,                0.79013,                0.72639,                0.84123,                0.70409,                0.61956,                 1.4272,                0.81113,               0.032814,              0.0068139,              0.0068139
                      5,                0.79473,                0.85401,                0.86476,                0.78647,                0.77934,                 0.8412,                0.71985,                0.55108,                 1.4976,                0.81667,               0.019019,              0.0080189,              0.0080189
                      6,                0.89981,                0.84988,                 0.8885,                0.76825,                0.70031,                0.79371,                0.62639,                0.72951,                0.87335,                0.83278,               0.008812,               0.008812,               0.008812
                      7,                 0.8537,                0.84802,                0.86733,                0.69261,                0.76993,                0.77557,                0.59359,                0.83203,                0.83221,                0.82943,               0.008812,               0.008812,               0.008812
                      8,                0.82556,                0.72536,                 0.8865,                0.78353,                0.71763,                0.80154,                0.61374,                0.86956,                 1.1794,                0.83828,               0.008614,               0.008614,               0.008614
                      9,                0.71771,                0.76151,                0.87343,                0.81762,                0.73591,                0.82166,                0.65696,                0.66953,                0.93766,                0.82601,               0.008416,               0.008416,               0.008416
                     10,                0.82272,                0.62397,                0.87438,                0.90007,                0.73553,                0.87648,                0.65506,                0.80623,                0.81086,                 0.8503,               0.008218,               0.008218,               0.008218
                     11,                0.87004,                0.58022,                0.86384,                0.80727,                0.85597,                0.89526,                0.71969,                0.72038,                0.63474,                0.82183,                0.00802,                0.00802,                0.00802
                     12,                0.82062,                0.58983,                0.88069,                0.91633,                0.82098,                0.90769,                0.74861,                 0.6978,                0.72065,                0.82613,               0.007822,               0.007822,               0.007822
                     13,                0.75224,                0.57509,                0.86222,                0.95195,                0.77505,                0.90042,                0.73522,                0.66037,                0.54229,                0.83156,               0.007624,               0.007624,               0.007624
                     14,                0.77839,                0.53293,                0.85326,                0.89937,                0.81626,                0.89864,                 0.7301,                0.67406,                0.52434,                0.82501,               0.007426,               0.007426,               0.007426
                     15,                  0.723,                0.53137,                0.86406,                0.88047,                0.79645,                0.89871,                0.74681,                0.65087,                0.53871,                0.81988,               0.007228,               0.007228,               0.007228
                     16,                0.73691,                0.53456,                0.86113,                0.89086,                 0.8193,                0.92076,                0.76815,                0.60467,                0.46947,                0.81663,                0.00703,                0.00703,                0.00703
                     17,                 0.6934,                0.51516,                0.85014,                0.92721,                0.85408,                0.92093,                0.77274,                0.60663,                0.45281,                0.82456,               0.006832,               0.006832,               0.006832
                     18,                0.69208,                0.48301,                0.85864,                 0.9693,                0.80901,                0.91524,                0.76087,                0.65235,                 0.4593,                0.82314,               0.006634,               0.006634,               0.006634
                     19,                0.69639,                0.47414,                0.85096,                0.89475,                0.82688,                 0.9229,                 0.7604,                0.61239,                0.45445,                0.81833,               0.006436,               0.006436,               0.006436
                     20,                0.65971,                0.46175,                0.84353,                  0.922,                0.84008,                0.93796,                0.81964,                0.54016,                0.41631,                0.81966,               0.006238,               0.006238,               0.006238
                     21,                 0.6419,                 0.4541,                 0.8556,                0.96283,                0.81499,                0.93419,                0.82403,                0.49582,                0.38683,                0.82531,                0.00604,                0.00604,                0.00604
                     22,                0.63079,                 0.4409,                0.83393,                0.94953,                0.82361,                 0.9349,                0.81019,                0.55232,                0.41543,                0.81513,               0.005842,               0.005842,               0.005842
                     23,                0.64632,                0.44828,                 0.8396,                0.94497,                0.83378,                0.93764,                0.81163,                0.52589,                0.40074,                0.81412,               0.005644,               0.005644,               0.005644
                     24,                0.58375,                0.43987,                0.82598,                0.90482,                0.89449,                0.94284,                0.83034,                0.47474,                0.36175,                0.80441,               0.005446,               0.005446,               0.005446
                     25,                0.59464,                0.42709,                 0.8369,                0.96927,                0.85615,                0.93836,                 0.8139,                0.52103,                0.39993,                0.80952,               0.005248,               0.005248,               0.005248
                     26,                0.59437,                  0.419,                0.82263,                 0.9479,                0.84945,                0.94634,                0.82556,                0.48493,                0.38067,                0.81074,                0.00505,                0.00505,                0.00505
                     27,                0.57062,                0.41979,                 0.8221,                0.94051,                0.83863,                0.92764,                0.81475,                0.47797,                0.39074,                0.80664,               0.004852,               0.004852,               0.004852
                     28,                0.56754,                 0.4136,                0.82762,                0.94933,                0.82337,                0.93359,                0.81357,                0.46514,                 0.3792,                0.81526,               0.004654,               0.004654,               0.004654
                     29,                0.55994,                0.40322,                0.82365,                 0.9386,                0.81245,                 0.9218,                0.79666,                0.48186,                0.38013,                0.81707,               0.004456,               0.004456,               0.004456
                     30,                0.52624,                0.38423,                0.82911,                0.88307,                0.89081,                0.94692,                0.83717,                0.47646,                0.37319,                 0.8129,               0.004258,               0.004258,               0.004258
                     31,                0.54168,                0.39092,                0.82646,                0.92409,                0.88788,                0.95609,                0.84494,                0.45182,                0.35708,                0.80326,                0.00406,                0.00406,                0.00406
                     32,                0.52132,                0.37738,                0.81949,                0.90182,                0.90881,                0.95348,                0.84609,                0.44208,                0.35962,                0.80009,               0.003862,               0.003862,               0.003862
                     33,                0.48354,                 0.3762,                 0.8155,                0.95172,                0.84608,                0.95246,                0.86093,                0.41116,                0.33614,                0.79833,               0.003664,               0.003664,               0.003664
                     34,                0.49163,                0.37136,                0.81387,                 0.9475,                0.85582,                  0.954,                0.85495,                0.38555,                0.32183,                0.79731,               0.003466,               0.003466,               0.003466
                     35,                0.49243,                0.36132,                 0.8215,                0.90846,                0.90724,                0.95202,                0.85467,                0.40526,                0.32935,                0.79789,               0.003268,               0.003268,               0.003268
                     36,                0.48088,                0.36001,                0.82477,                0.89675,                0.90226,                0.95155,                0.85547,                 0.3888,                 0.3313,                0.79359,                0.00307,                0.00307,                0.00307
                     37,                0.46249,                0.35237,                0.81484,                0.88218,                0.89638,                0.95117,                0.85204,                0.39435,                0.33233,                0.79386,               0.002872,               0.002872,               0.002872
                     38,                0.47777,                0.35488,                0.80824,                0.86645,                0.91604,                 0.9515,                0.85781,                0.39177,                0.32615,                0.79415,               0.002674,               0.002674,               0.002674
                     39,                0.46669,                0.35346,                 0.8144,                 0.9582,                0.83388,                0.95321,                0.86391,                 0.3702,                0.30894,                 0.7925,               0.002476,               0.002476,               0.002476
                     40,                0.42482,                0.32749,                0.81332,                0.88283,                0.92579,                0.95574,                0.87243,                0.36455,                0.31144,                0.79053,               0.002278,               0.002278,               0.002278
                     41,                0.43084,                 0.3312,                0.81088,                0.94087,                 0.8629,                0.95085,                0.86971,                 0.3596,                 0.3055,                0.79048,                0.00208,                0.00208,                0.00208
                     42,                0.42727,                0.31514,                0.81022,                0.97065,                0.83625,                0.95261,                0.87195,                0.35917,                0.29784,                0.78701,               0.001882,               0.001882,               0.001882
                     43,                0.42469,                0.32727,                 0.8076,                0.94267,                0.86191,                0.95271,                0.88571,                0.35007,                 0.2933,                0.78414,               0.001684,               0.001684,               0.001684
                     44,                0.40731,                0.31607,                0.80915,                0.93884,                0.87719,                0.95584,                0.88434,                0.34764,                0.29423,                0.78209,               0.001486,               0.001486,               0.001486
                     45,                  0.396,                 0.3055,                0.79861,                0.88621,                0.92066,                0.95433,                0.88624,                0.33722,                0.28918,                0.77923,               0.001288,               0.001288,               0.001288
                     46,                0.37852,                0.29439,                0.80249,                0.90065,                0.90581,                0.95219,                 0.8847,                0.32992,                0.27795,                0.77818,                0.00109,                0.00109,                0.00109
                     47,                0.40575,                 0.2973,                0.80816,                0.91475,                0.90093,                0.95175,                 0.8876,                0.32816,                0.27684,                0.77962,               0.000892,               0.000892,               0.000892
                     48,                0.37675,                0.28749,                0.80264,                0.91153,                0.90935,                0.95386,                0.88734,                0.32211,                0.27403,                0.77983,               0.000694,               0.000694,               0.000694
                     49,                0.37846,                0.28387,                 0.8066,                 0.9217,                0.90914,                 0.9545,                0.88384,                0.32538,                0.27182,                0.78136,               0.000496,               0.000496,               0.000496
